totalUserPersistence
0
0
0
0
0
0
0
0
25
25
25
25
14.29
14.29
14.29
14.29
14.29
14.29
14.29
25
25
25
25
25
25
25
25
10
10
10
10
10
10
10
10
10
10
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
50
50
50
50
50
50
50
50
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
16.67
16.67
16.67
16.67
16.67
16.67
0
0
0
0
0
0
0
22.22
22.22
22.22
22.22
22.22
22.22
22.22
22.22
22.22
20
20
20
20
20
0
100
10
10
10
10
10
10
10
10
10
10
0
0
0
0
0
0
0
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
18.18
25
25
25
25
25
25
25
25
0
33.33
33.33
33.33
0
0
0
0
0
0
0
0
16.67
16.67
16.67
16.67
16.67
16.67
10
10
10
10
10
10
10
10
10
10
0
0
0
0
0
0
0
0
11.11
11.11
11.11
11.11
11.11
11.11
11.11
11.11
11.11
14.29
14.29
14.29
14.29
14.29
14.29
14.29
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
7.14
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
12.5
0
0
0
0
0
0
0
0
0
0
0
100
100
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
66.67
66.67
66.67
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
21.43
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
14.29
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
16.67
50
50
50
50
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
3.23
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
16.13
0
0
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
18.52
0
0
0
0
0
0
0
0
0
0
0
0
0
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
9.68
0
0
0
0
0
0
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
7.69
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.67
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
6.45
