,group,user,task_id,puzzle_difficulty,completed,timestamp,active_time,percentileActiveTime,n_events,percentileEvents,n_check_solution,percentileAtt,percentileComposite,persistence,n_breaks,n_snapshot,n_rotate_view,n_manipulation_events,time_failed_submission_exit,avg_time_between_submissions,cum_weighted_difficulty_perc_composite,percentileCompositeAcrossAttempts,persistenceAcrossAttempts,cum_global_puzzle_attempts,cum_this_puzzle_attempt,cum_avg_perc_composite,cum_avg_persistence
cb71040b5bd1341a34afc24961536ebd~098f6bcd4621d373cade4e832627b4f6~Sandbox~1,cb71040b5bd1341a34afc24961536ebd,098f6bcd4621d373cade4e832627b4f6,Sandbox,1e-06,0.0,2019-09-06 15:04:55.942032-04:00,61.2,32.56,5.0,11.63,0.0,98.84,47.67,NO_BEHAVIOR,1.0,0.0,0.0,0.0,NA,NA,47.67,39.47,NORMAL_PERSISTANCE,1.0,1,47.67,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~1. One Box~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,2e-06,1.0,2019-09-09 13:29:29.964185-04:00,37.44,44.33,13.0,52.0,1.0,100.0,65.44,NO_BEHAVIOR,1.0,0.0,0.0,1.0,NA,18.56,65.44,62.07,NORMAL_PERSISTANCE,1.0,1,65.44,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~2. Separated Boxes~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,0.111127,1.0,2019-09-09 13:30:02.060673-04:00,72.36,52.16,14.0,21.58,2.0,62.95,45.56,NO_BEHAVIOR,2.0,0.0,0.0,3.0,NA,30.16,45.56,37.93,NORMAL_PERSISTANCE,2.0,1,55.5,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,0.083447,1.0,2019-09-09 13:31:08.104106-04:00,252.13,93.07,70.0,85.4,4.0,91.61,90.02,PRODUCTIVE_PERSISTANCE,3.0,0.0,0.0,38.0,NA,61.45,64.63,96.55,MORE_PERSISTANCE_THAN_NORMAL,3.0,1,67.01,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,0.061887,0.0,2019-09-09 13:35:19.373383-04:00,304.14,86.57,126.0,86.94,1.0,61.19,78.23,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,56.0,20.0,2.77,279.71,67.91,72.41,NORMAL_PERSISTANCE,4.0,1,69.82,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,0.083447,0.0,2019-09-09 13:40:23.421491-04:00,8.64,0.73,4.0,1.09,0.0,2.92,1.58,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,51.63,3.45,LESS_PERSISTANCE_THAN_NORMAL,5.0,2,56.17,"{""NON_PERSISTANT "": 20.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 20.0, ""NO_BEHAVIOR"": 40.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,0.061887,0.0,2019-09-09 13:40:32.111635-04:00,24.23,10.82,10.0,1.87,0.0,1.87,4.85,NON_PERSISTANT,0.0,0.0,0.0,2.0,NA,NA,44.42,6.9,LESS_PERSISTANCE_THAN_NORMAL,6.0,2,47.62,"{""NON_PERSISTANT "": 33.33, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 33.33}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,0.085909,0.0,2019-09-09 13:40:56.260259-04:00,175.18,95.49,67.0,93.23,1.0,62.41,83.71,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,12.0,26.0,2.83,164.38,51.34,86.21,MORE_PERSISTANCE_THAN_NORMAL,7.0,1,52.77,"{""NON_PERSISTANT "": 28.57, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 28.57, ""NO_BEHAVIOR"": 28.57}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bear Market,1.0,0.0,2019-09-09 13:43:51.554516-04:00,66.88,58.39,24.0,55.47,0.0,69.34,61.07,NO_BEHAVIOR,0.0,0.0,0.0,7.0,NA,NA,57.88,55.17,NORMAL_PERSISTANCE,8.0,1,53.81,"{""NON_PERSISTANT "": 25.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 37.5}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,0.128647,0.0,2019-09-09 13:44:58.463226-04:00,197.41,70.37,68.0,59.72,0.0,5.56,45.22,NO_BEHAVIOR,0.0,0.0,0.0,22.0,NA,NA,56.87,34.48,NORMAL_PERSISTANCE,9.0,1,52.85,"{""NON_PERSISTANT "": 22.22, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 11.11, ""UNPRODUCTIVE_PERSISTANCE"": 22.22, ""NO_BEHAVIOR"": 44.44}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bear Market,1.0,0.0,2019-09-09 13:48:16.187492-04:00,566.64,92.7,222.0,86.13,0.0,69.34,82.73,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,28.0,79.0,NA,NA,66.75,82.76,MORE_PERSISTANCE_THAN_NORMAL,10.0,2,55.84,"{""NON_PERSISTANT "": 20.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 10.0, ""UNPRODUCTIVE_PERSISTANCE"": 30.0, ""NO_BEHAVIOR"": 40.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~3,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,0.061887,1.0,2019-09-09 13:57:42.045015-04:00,72.94,51.49,32.0,58.96,1.0,61.19,57.21,NO_BEHAVIOR,0.0,0.0,17.0,5.0,NA,60.63,66.53,51.72,NORMAL_PERSISTANCE,11.0,3,55.97,"{""NON_PERSISTANT "": 18.18, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 9.09, ""UNPRODUCTIVE_PERSISTANCE"": 27.27, ""NO_BEHAVIOR"": 45.45}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~8. Combine 2 Ramps~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,8. Combine 2 Ramps,0.068608,1.0,2019-09-09 13:58:55.405365-04:00,83.21,53.85,32.0,40.27,1.0,75.11,56.41,NO_BEHAVIOR,0.0,0.0,6.0,12.0,NA,74.94,66.28,48.28,NORMAL_PERSISTANCE,12.0,1,56.0,"{""NON_PERSISTANT "": 16.67, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 8.33, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,0.128647,1.0,2019-09-09 14:00:18.912969-04:00,360.73,88.43,139.0,84.72,2.0,69.44,80.86,PRODUCTIVE_PERSISTANCE,0.0,0.0,43.0,43.0,NA,176.09,66.93,75.86,MORE_PERSISTANCE_THAN_NORMAL,13.0,2,57.92,"{""NON_PERSISTANT "": 15.38, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 15.38, ""UNPRODUCTIVE_PERSISTANCE"": 23.08, ""NO_BEHAVIOR"": 46.15}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Square Cross-Sections~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Square Cross-Sections,0.199714,1.0,2019-09-09 14:06:19.293103-04:00,413.52,86.78,164.0,84.58,3.0,74.01,81.79,PRODUCTIVE_PERSISTANCE,0.0,0.0,71.0,40.0,NA,135.44,67.9,79.31,MORE_PERSISTANCE_THAN_NORMAL,14.0,1,59.62,"{""NON_PERSISTANT "": 14.29, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 21.43, ""UNPRODUCTIVE_PERSISTANCE"": 21.43, ""NO_BEHAVIOR"": 42.86}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bird Fez~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,0.156674,1.0,2019-09-09 14:13:12.491502-04:00,177.12,57.01,279.0,95.33,1.0,45.79,66.04,NO_BEHAVIOR,0.0,1.0,119.0,68.0,NA,174.22,67.81,65.52,NORMAL_PERSISTANCE,15.0,1,60.05,"{""NON_PERSISTANT "": 13.33, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 20.0, ""NO_BEHAVIOR"": 46.67}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pi Henge~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,0.067346,1.0,2019-09-09 14:16:07.487901-04:00,12.47,2.38,73.0,75.6,1.0,65.48,47.82,NO_BEHAVIOR,0.0,0.0,0.0,26.0,NA,11.87,67.4,41.38,NORMAL_PERSISTANCE,16.0,1,59.29,"{""NON_PERSISTANT "": 12.5, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 18.75, ""UNPRODUCTIVE_PERSISTANCE"": 18.75, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~45-Degree Rotations~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,45-Degree Rotations,0.096715,1.0,2019-09-09 14:16:19.943516-04:00,5.86,1.2,35.0,29.52,1.0,65.06,31.93,NO_BEHAVIOR,0.0,0.0,0.0,15.0,NA,5.28,66.39,27.59,NORMAL_PERSISTANCE,17.0,1,57.68,"{""NON_PERSISTANT "": 11.76, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 17.65, ""UNPRODUCTIVE_PERSISTANCE"": 17.65, ""NO_BEHAVIOR"": 52.94}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,0.1796,1.0,2019-09-09 14:16:25.811744-04:00,14.79,9.95,88.0,63.35,2.0,59.16,44.15,NO_BEHAVIOR,0.0,0.0,12.0,39.0,NA,6.23,65.27,31.03,NORMAL_PERSISTANCE,18.0,1,56.92,"{""NON_PERSISTANT "": 11.11, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 55.56}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,0.266198,0.0,2019-09-09 14:16:40.587532-04:00,2.36,0.52,16.0,9.33,1.0,31.09,13.64,NON_PERSISTANT,0.0,0.0,0.0,4.0,0.15,2.07,61.7,13.79,LESS_PERSISTANCE_THAN_NORMAL,19.0,1,54.65,"{""NON_PERSISTANT "": 15.79, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 15.79, ""UNPRODUCTIVE_PERSISTANCE"": 15.79, ""NO_BEHAVIOR"": 52.63}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,0.1796,1.0,2019-09-09 14:16:42.954154-04:00,13.65,9.42,60.0,43.46,1.0,42.41,31.76,NO_BEHAVIOR,0.0,0.0,2.0,28.0,NA,8.48,60.36,24.14,LESS_PERSISTANCE_THAN_NORMAL,20.0,2,53.5,"{""NON_PERSISTANT "": 15.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 15.0, ""UNPRODUCTIVE_PERSISTANCE"": 15.0, ""NO_BEHAVIOR"": 55.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,0.266198,0.0,2019-09-09 14:16:59.408999-04:00,59.8,16.58,4.0,5.7,0.0,11.4,11.23,NON_PERSISTANT,1.0,0.0,0.0,0.0,NA,NA,57.31,10.34,LESS_PERSISTANCE_THAN_NORMAL,21.0,2,51.49,"{""NON_PERSISTANT "": 19.05, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 14.29, ""NO_BEHAVIOR"": 52.38}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~3,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,0.266198,1.0,2019-09-10 13:27:16.295043-04:00,834.17,98.45,297.0,94.82,4.0,73.06,88.77,PRODUCTIVE_PERSISTANCE,10.0,2.0,80.0,91.0,NA,199.03,59.15,93.1,MORE_PERSISTANCE_THAN_NORMAL,22.0,3,53.18,"{""NON_PERSISTANT "": 18.18, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 18.18, ""UNPRODUCTIVE_PERSISTANCE"": 13.64, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Object Limits,0.257177,1.0,2019-09-10 13:40:39.894777-04:00,234.72,74.71,94.0,78.24,2.0,33.53,62.16,NO_BEHAVIOR,0.0,0.0,54.0,16.0,NA,112.49,59.31,58.62,NORMAL_PERSISTANCE,23.0,1,53.57,"{""NON_PERSISTANT "": 17.39, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 17.39, ""UNPRODUCTIVE_PERSISTANCE"": 13.04, ""NO_BEHAVIOR"": 52.17}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Object Limits,0.257177,1.0,2019-09-10 13:44:34.784003-04:00,42.67,14.12,19.0,16.47,1.0,15.88,15.49,RAPID_SOLVER,0.0,0.0,3.0,5.0,NA,32.94,57.09,17.24,LESS_PERSISTANCE_THAN_NORMAL,24.0,2,51.99,"{""NON_PERSISTANT "": 16.67, ""RAPID_SOLVER"": 4.17, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tetromino~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Tetromino,0.226869,1.0,2019-09-10 13:46:08.981508-04:00,87.62,83.33,14.0,25.0,1.0,100.0,69.44,NO_BEHAVIOR,1.0,0.0,0.0,4.0,NA,28.77,57.61,68.97,NORMAL_PERSISTANCE,25.0,1,52.69,"{""NON_PERSISTANT "": 16.0, ""RAPID_SOLVER"": 4.0, ""PRODUCTIVE_PERSISTANCE"": 16.0, ""UNPRODUCTIVE_PERSISTANCE"": 12.0, ""NO_BEHAVIOR"": 52.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Angled Silhouette~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Angled Silhouette,0.147673,1.0,2019-09-10 13:46:45.283227-04:00,64.91,45.57,26.0,38.61,1.0,68.35,50.84,NO_BEHAVIOR,0.0,0.0,0.0,9.0,NA,56.68,57.43,44.83,NORMAL_PERSISTANCE,26.0,1,52.61,"{""NON_PERSISTANT "": 15.38, ""RAPID_SOLVER"": 3.85, ""PRODUCTIVE_PERSISTANCE"": 15.38, ""UNPRODUCTIVE_PERSISTANCE"": 11.54, ""NO_BEHAVIOR"": 53.85}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,0.085909,1.0,2019-09-10 13:47:50.161840-04:00,216.31,96.99,92.0,96.24,1.0,62.41,85.21,PRODUCTIVE_PERSISTANCE,0.0,1.0,21.0,30.0,NA,209.2,57.86,89.66,MORE_PERSISTANCE_THAN_NORMAL,27.0,2,53.82,"{""NON_PERSISTANT "": 14.81, ""RAPID_SOLVER"": 3.7, ""PRODUCTIVE_PERSISTANCE"": 18.52, ""UNPRODUCTIVE_PERSISTANCE"": 11.11, ""NO_BEHAVIOR"": 51.85}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Stranger Shapes~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Stranger Shapes,0.283971,1.0,2019-09-10 13:51:26.018549-04:00,116.95,29.45,61.0,34.93,1.0,23.97,29.45,NO_BEHAVIOR,0.0,0.0,13.0,19.0,NA,111.98,56.47,20.69,LESS_PERSISTANCE_THAN_NORMAL,28.0,1,52.95,"{""NON_PERSISTANT "": 14.29, ""RAPID_SOLVER"": 3.57, ""PRODUCTIVE_PERSISTANCE"": 17.86, ""UNPRODUCTIVE_PERSISTANCE"": 10.71, ""NO_BEHAVIOR"": 53.57}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tall and Small~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Tall and Small,0.266869,1.0,2019-09-10 13:53:22.263676-04:00,557.94,96.64,274.0,97.48,6.0,76.47,90.2,PRODUCTIVE_PERSISTANCE,2.0,3.0,125.0,58.0,NA,92.36,57.96,100.0,MORE_PERSISTANCE_THAN_NORMAL,29.0,1,54.24,"{""NON_PERSISTANT "": 13.79, ""RAPID_SOLVER"": 3.45, ""PRODUCTIVE_PERSISTANCE"": 20.69, ""UNPRODUCTIVE_PERSISTANCE"": 10.34, ""NO_BEHAVIOR"": 51.72}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~1. One Box~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,1. One Box,2e-06,1.0,2019-09-09 13:29:58.878709-04:00,43.45,51.33,12.0,49.67,1.0,100.0,67.0,NO_BEHAVIOR,1.0,0.0,0.0,1.0,NA,22.02,67.0,69.57,NORMAL_PERSISTANCE,1.0,1,67.0,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~2. Separated Boxes~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,2. Separated Boxes,0.111127,1.0,2019-09-09 13:30:32.800475-04:00,35.9,15.11,14.0,21.58,1.0,34.53,23.74,RAPID_SOLVER,0.0,0.0,0.0,3.0,NA,27.0,23.74,4.35,LESS_PERSISTANCE_THAN_NORMAL,2.0,1,45.37,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 50.0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~3. Rotate a Pyramid~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,3. Rotate a Pyramid,0.083447,1.0,2019-09-09 13:31:11.301267-04:00,38.13,25.55,12.0,20.44,1.0,45.26,30.41,NO_BEHAVIOR,1.0,0.0,0.0,2.0,NA,28.24,26.6,8.7,LESS_PERSISTANCE_THAN_NORMAL,3.0,1,40.38,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 33.33, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~4. Match Silhouettes~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,4. Match Silhouettes,0.061887,1.0,2019-09-09 13:31:48.114365-04:00,43.53,31.34,13.0,26.49,1.0,61.19,39.68,NO_BEHAVIOR,1.0,0.0,0.0,3.0,NA,34.44,29.76,30.43,NORMAL_PERSISTANCE,4.0,1,40.21,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 25.0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 75.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~5. Removing Objects~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,5. Removing Objects,0.106021,1.0,2019-09-09 13:32:28.946061-04:00,447.25,90.6,166.0,89.85,3.0,79.7,86.72,PRODUCTIVE_PERSISTANCE,1.0,0.0,3.0,34.0,NA,146.56,46.42,86.96,MORE_PERSISTANCE_THAN_NORMAL,5.0,1,49.51,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 20.0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 60.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~6. Stretch a Ramp~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,6. Stretch a Ramp,0.107035,1.0,2019-09-09 13:39:56.470356-04:00,249.91,86.89,94.0,83.2,4.0,87.7,85.93,PRODUCTIVE_PERSISTANCE,0.0,1.0,3.0,31.0,NA,59.56,55.42,82.61,MORE_PERSISTANCE_THAN_NORMAL,6.0,1,55.58,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 16.67, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~7. Max 2 Boxes~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,7. Max 2 Boxes,0.078039,1.0,2019-09-09 13:44:06.913646-04:00,302.37,92.71,105.0,89.07,2.0,82.19,87.99,PRODUCTIVE_PERSISTANCE,0.0,3.0,16.0,31.0,NA,146.94,60.07,91.3,MORE_PERSISTANCE_THAN_NORMAL,7.0,1,60.21,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 14.29, ""PRODUCTIVE_PERSISTANCE"": 42.86, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 42.86}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~8. Combine 2 Ramps~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,8. Combine 2 Ramps,0.068608,1.0,2019-09-09 13:49:09.095690-04:00,88.15,57.01,36.0,47.96,2.0,89.59,64.86,NO_BEHAVIOR,0.0,0.0,3.0,14.0,NA,40.0,60.6,65.22,NORMAL_PERSISTANCE,8.0,1,60.79,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 12.5, ""PRODUCTIVE_PERSISTANCE"": 37.5, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~9. Scaling Round Objects~1,cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,9. Scaling Round Objects,0.128647,1.0,2019-09-09 13:50:37.049467-04:00,191.98,68.98,82.0,66.2,5.0,93.06,76.08,PRODUCTIVE_PERSISTANCE,0.0,0.0,25.0,24.0,NA,36.8,63.27,73.91,NORMAL_PERSISTANCE,9.0,1,62.49,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 11.11, ""PRODUCTIVE_PERSISTANCE"": 44.44, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 44.44}"
