,group,user,task_id,completed,active_time,percentileActiveTime,percTimeAbove85,percTimeBelow15,ws-check_solution,percentileAtt,percAttAbove85,percAttBelow15,totalUserPersistence
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,1. One Box,1.0,88.181258,75.45787545787546,False,False,1,51.0989010989011,True,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,2. Separated Boxes,1.0,114.14047300000001,72.0754716981132,False,False,3,72.64150943396227,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,3. Rotate a Pyramid,1.0,54.36387,41.26984126984127,False,False,1,21.825396825396826,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,4. Match Silhouettes,1.0,643.343008,96.7479674796748,True,False,3,80.89430894308943,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,5. Removing Objects,1.0,131.162303,49.17355371900826,False,False,1,25.619834710743802,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,6. Stretch a Ramp,1.0,178.25294499999995,70.17543859649123,False,False,2,51.75438596491228,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,7. Max 2 Boxes,1.0,54.96673100000001,46.60633484162896,False,False,1,31.67420814479638,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,8. Combine 2 Ramps,0.0,84.59894800000001,49.30875576036866,False,False,2,80.64516129032258,True,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,1. One Box,1.0,419.93479699999983,99.26739926739927,True,False,1,51.0989010989011,True,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,2. Separated Boxes,1.0,133.33345999999997,76.98113207547169,False,False,3,72.64150943396227,False,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,3. Rotate a Pyramid,1.0,47.95873100000001,35.317460317460316,False,False,1,21.825396825396826,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,4. Match Silhouettes,1.0,95.97578500000002,60.97560975609756,False,False,5,89.63414634146342,True,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,1. One Box,1.0,102.57896799999999,80.95238095238095,False,False,1,51.0989010989011,True,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,2. Separated Boxes,1.0,67.84067999999999,44.15094339622642,False,False,1,16.79245283018868,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,3. Rotate a Pyramid,1.0,157.10826799999995,80.55555555555556,False,False,1,21.825396825396826,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,4. Match Silhouettes,1.0,1182.7360519999995,100.0,True,False,14,98.17073170731707,True,False,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,5. Removing Objects,1.0,60.419549,22.727272727272727,False,False,1,25.619834710743802,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,6. Stretch a Ramp,0.0,106.82554499999999,49.12280701754386,False,False,0,1.5350877192982457,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,9. Scaling Round Objects,0.0,236.50384600000004,73.5,False,False,0,2.0,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,1. One Box,1.0,86.24747800000002,74.35897435897436,False,False,1,51.0989010989011,True,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,2. Separated Boxes,1.0,74.364962,50.943396226415096,False,False,3,72.64150943396227,False,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,3. Rotate a Pyramid,1.0,40.380117000000006,26.984126984126984,False,False,1,21.825396825396826,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,4. Match Silhouettes,1.0,44.779013,31.30081300813008,False,False,1,29.471544715447155,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,5. Removing Objects,1.0,577.0736500000005,94.21487603305785,True,False,9,94.83471074380165,True,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,6. Stretch a Ramp,1.0,273.976265,86.40350877192982,True,False,7,93.64035087719299,True,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,7. Max 2 Boxes,1.0,28.789729,20.361990950226243,False,False,1,31.67420814479638,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,8. Combine 2 Ramps,0.0,171.41223700000003,78.80184331797236,False,False,0,3.686635944700461,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,1. One Box,1.0,41.190844999999996,42.857142857142854,False,False,1,51.0989010989011,True,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,2. Separated Boxes,1.0,358.05609400000014,95.84905660377359,True,False,4,88.11320754716981,True,False,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,3. Rotate a Pyramid,1.0,195.87821,86.11111111111111,True,False,1,21.825396825396826,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,4. Match Silhouettes,1.0,60.877010000000006,43.49593495934959,False,False,1,29.471544715447155,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,5. Removing Objects,1.0,141.118374,51.65289256198347,False,False,2,57.43801652892562,False,False,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,6. Stretch a Ramp,1.0,167.39434100000008,69.29824561403508,False,False,1,19.07894736842105,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,7. Max 2 Boxes,1.0,147.02401300000002,73.75565610859728,False,False,1,31.67420814479638,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,8. Combine 2 Ramps,1.0,50.18519099999999,18.433179723502302,False,False,1,39.63133640552996,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,9. Scaling Round Objects,1.0,419.56069399999996,88.5,True,False,1,23.25,False,True,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~Square Cross-Sections,4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,Square Cross-Sections,0.0,311.8345129999999,67.48768472906404,False,False,3,60.83743842364532,False,False,10.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,1. One Box,1.0,36.707948,37.362637362637365,False,False,1,51.0989010989011,True,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,2. Separated Boxes,1.0,83.49593500000002,57.35849056603774,False,False,3,72.64150943396227,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,3. Rotate a Pyramid,1.0,125.530653,73.01587301587301,False,False,2,58.13492063492063,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,4. Match Silhouettes,1.0,135.36135299999998,67.47967479674797,False,False,2,68.08943089430895,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,5. Removing Objects,1.0,143.08823500000003,52.06611570247934,False,False,2,57.43801652892562,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,6. Stretch a Ramp,1.0,223.39852400000004,79.3859649122807,False,False,2,51.75438596491228,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,7. Max 2 Boxes,1.0,52.146904000000006,41.6289592760181,False,False,1,31.67420814479638,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,8. Combine 2 Ramps,1.0,132.748763,68.20276497695852,False,False,2,80.64516129032258,True,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,9. Scaling Round Objects,0.0,43.258876,7.0,False,True,0,2.0,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,1. One Box,1.0,65.584102,61.53846153846154,False,False,1,51.0989010989011,True,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,2. Separated Boxes,1.0,77.064493,53.58490566037736,False,False,3,72.64150943396227,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,3. Rotate a Pyramid,1.0,75.647441,55.55555555555556,False,False,3,79.76190476190476,True,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,4. Match Silhouettes,1.0,61.872696999999995,44.71544715447155,False,False,1,29.471544715447155,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~45-Degree Rotations,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,45-Degree Rotations,1.0,111.41843800000001,53.205128205128204,False,False,1,34.93589743589744,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,5. Removing Objects,1.0,488.7588549999998,89.25619834710744,True,False,3,71.28099173553719,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,6. Stretch a Ramp,1.0,96.26424300000001,42.54385964912281,False,False,1,19.07894736842105,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,7. Max 2 Boxes,1.0,81.63323800000002,61.085972850678736,False,False,2,71.71945701357465,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,8. Combine 2 Ramps,1.0,63.450987,30.4147465437788,False,False,1,39.63133640552996,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,9. Scaling Round Objects,1.0,73.480364,28.0,False,False,1,23.25,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~Bird Fez,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,Bird Fez,1.0,133.05346699999998,38.12154696132597,False,False,1,21.823204419889503,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~Boxes Obscure Spheres,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,Boxes Obscure Spheres,0.0,495.4413789999998,75.16778523489933,False,False,0,3.3557046979865772,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~Pi Henge,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,Pi Henge,1.0,79.52077200000001,34.355828220858896,False,False,1,33.43558282208589,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~Pyramids are Strange,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,Pyramids are Strange,1.0,204.828224,53.94736842105263,False,False,1,19.736842105263158,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~Square Cross-Sections,4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,Square Cross-Sections,1.0,108.20200499999999,27.586206896551722,False,False,1,21.67487684729064,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,1. One Box,1.0,135.121319,90.10989010989012,True,False,1,51.0989010989011,True,True,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,2. Separated Boxes,1.0,134.012988,77.35849056603773,False,False,4,88.11320754716981,True,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,3. Rotate a Pyramid,1.0,283.255361,92.46031746031746,True,False,8,94.64285714285714,True,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,4. Match Silhouettes,1.0,216.286121,79.26829268292683,False,False,3,80.89430894308943,False,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,1. One Box,1.0,136.866533,90.47619047619048,True,False,1,51.0989010989011,True,True,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,2. Separated Boxes,1.0,183.589139,86.41509433962264,True,False,4,88.11320754716981,True,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,3. Rotate a Pyramid,1.0,169.5195489999999,82.53968253968254,False,False,2,58.13492063492063,False,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,9. Scaling Round Objects,0.0,689.3494430000003,97.0,True,False,2,54.0,False,False,50.0
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,1. One Box,1.0,177.284272,95.6043956043956,True,False,1,51.0989010989011,True,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,2. Separated Boxes,1.0,45.579820999999995,22.264150943396228,False,False,2,47.35849056603774,False,False,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,3. Rotate a Pyramid,1.0,92.80942999999998,63.095238095238095,False,False,3,79.76190476190476,True,False,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,4. Match Silhouettes,1.0,31.346880999999996,17.88617886178862,False,False,1,29.471544715447155,False,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,5. Removing Objects,1.0,31.652831,7.851239669421488,False,True,1,25.619834710743802,False,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,6. Stretch a Ramp,1.0,476.105206,96.9298245614035,True,False,9,96.2719298245614,True,False,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,7. Max 2 Boxes,1.0,165.83956,79.18552036199095,False,False,3,85.74660633484163,True,False,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,8. Combine 2 Ramps,1.0,332.253968,88.47926267281106,True,False,1,39.63133640552996,False,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~9. Scaling Round Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,9. Scaling Round Objects,1.0,75.14426099999999,28.5,False,False,1,23.25,False,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~Pi Henge,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,Pi Henge,0.0,56.731485,13.496932515337424,False,True,1,33.43558282208589,False,True,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~Square Cross-Sections,4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,Square Cross-Sections,0.0,332.79395200000016,70.93596059113301,False,False,5,79.80295566502463,False,False,18.18
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,1. One Box,1.0,36.052933,35.53113553113553,False,False,1,51.0989010989011,True,True,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,2. Separated Boxes,1.0,33.943112,11.320754716981131,False,True,1,16.79245283018868,False,True,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,3. Rotate a Pyramid,1.0,354.35901099999984,94.04761904761905,True,False,8,96.62698412698413,True,False,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,4. Match Silhouettes,1.0,104.76233500000004,62.60162601626016,False,False,1,29.471544715447155,False,True,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,5. Removing Objects,0.0,126.960412,47.93388429752066,False,False,0,1.0330578512396693,False,True,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~Bear Market,4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,Bear Market,0.0,53.03540399999999,39.361702127659576,False,False,1,60.638297872340424,False,False,16.67
4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,1. One Box,1.0,69.827445,67.03296703296704,False,False,1,51.0989010989011,True,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,2. Separated Boxes,1.0,96.95250300000001,63.39622641509434,False,False,2,47.35849056603774,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,3. Rotate a Pyramid,1.0,142.110032,75.39682539682539,False,False,3,79.76190476190476,True,False,0.0
